,index,query_type,standard,question_word,comparee_type,parameter,comparee,answer,question
2361,first,comparee,away team,who,away team,away team,#,least,who is the first away team on the list ?
2362,least,comparee,number of people in attendance,which,home team,number of people in attendance,game,least,which game had the least number of people in attendance ?
2363,shortest,difference,name of one of the teams,how long,#,name of one of the teams,#,least,how long is the shortest name of one of the teams ?
2364,least,comparee,attendance,which,#,attendance,match,least,which match had the least in attendance ?
2365,highest,comparee,number of deaths,which,party,number of deaths,party,most,which party has the highest number of deaths ?
2366,first,comparee,death,who,representative,death,#,least,who was the first death in the republican party ?
2367,first,comparee,date of death,who,representative,date of death,sala burton,nan,who died first: sala burton or harold earthman ?
2368,#,comparee,#,what,#,#,#,least,what was the average age of the first three on the list ?
2369,oldest,comparee,#,which,representative,#,senator,most,which senator listed was the oldest when he died ?
2370,#,difference,height,what,contestant,height,reyna royo,nan,what is the height difference between contestant reyna royo and michelle krisko sugasti ?
2371,older,index,age,which,contestant,age,karol guevara,nan,"which contestant is older, karol guevara or patricia de leon ?"
2372,first,comparee,person,who,contestant,person,#,least,who is the first person that is being represented ?
2373,larger,index,land area (km²),is,national park,land area (km²),koli,nan,is koli larger than lemmenjoki ?
2374,least,comparee,land area,which,national park,land area,park,least,which park has the least land area ?
2375,least,comparee,number of yearly visitors,which,national park,number of yearly visitors,finland's national parks,least,which of finland's national parks has the least number of yearly visitors ?
2376,least,comparee,visitation,which,national park,visitation,national park,least,which national park has the least visitation ?
2377,last,comparee,finnish national park,#,national park,finnish national park,#,most,last finnish national park to be established
2378,more,comparee,deaths,which,#,deaths,1998,more,"which year had more deaths, 1998 or 2006 ?"
2379,#,difference,#,what,live births,#,live births,nan,what is the difference between live births and deaths in 1995 ?
2380,most,comparee,birth,what,#,birth,year,most,in what year were there the most births ?
2381,more,index,players,are,nationality,players,sweden,more,are there more players from sweden or canada ?
2382,most,comparee,players,which,nationality,players,nationality,most,from which nationality did the islanders draft the most players ?
2383,top,comparee,pick,who,player,pick,#,least,who was the top pick of the islanders' in the 2006 nhl entry draft ?
2384,same,comparee,number of centers,what,position,number of centers,#,equal,there are the same number of centers as what other position on the team ?
2385,first,comparee,place,who,athlete,place,#,least,who came in first place ?
2386,top,comparee,finisher from poland,who,athlete,finisher from poland,#,least,who was the top finisher from poland ?
2387,first,comparee,position,who,athlete,position,#,nan,who was first ?
2388,last,comparee,position,who,athlete,position,#,nan,who was last ?
2389,last,comparee,finisher from kazakhstan,what,time,finisher from kazakhstan,time,most,what is the time of the last finisher from kazakhstan ?
2390,top,comparee,airport name,what,airport name,airport name,airport name,least,what is the airport name at the top of the list ?
2391,most,comparee,airports,which,community,airports,community,most,which community has the most airports
2392,last,comparee,race,what,race name,race,name,most,what was the name of the last race ?
2393,most,comparee,number of times,who,winning team,number of times,winning team,most,who was the winning team the most number of times ?
2394,last,comparee,race name,what,race name,race name,race name,nan,what race name comes in last ?
2395,first,comparee,country,what,final,country,#,least,what is the first country listed on this chart ?
2396,most,comparee,finals,which,final,finals,country,most,which country is listed for the most finals ?
2397,#,difference,points,what,club,points,the first,most,what are the point differences between the first and last team ?
2398,worst,comparee,goal,what,club,goal,team,nan,what team had the worst goal difference in the league ?
2399,#,difference,points,what,club,points,cordoba,nan,what is the difference between the points earned by cordoba and the points earned by cd villarrobledo ?
2400,first,comparee,place,which,club,place,team,least,which team took first place ?
2401,top,difference,points,how many,club,points,top team,least,how many points did the top team finish ahead of the bottom team ?
2402,most,comparee,points,which,club,points,club,most,which club scored the most points ?
2403,#,comparee,#,what,points,#,total number of points,least,what are the total number of points scored by the first place team ?
2404,top,comparee,winning school,who,class aaaa,winning school,#,least,who is the top (most wins overall) winning school in class aaaa ?
2405,largest,comparee,amount of teams,who,mixed team,amount of teams,#,most,"who has the largest amount of teams, men's, women, or mixed ?"
2406,last,comparee,american,who,women's individual,american,#,most,who was the last american to win men's individual ?
2407,last,comparee,competition,what,women's team,competition,women's team,most,what women's team won the last competition ?
2408,heavier,index,weight,is,tops design code,weight,08-0av,nan,is 08-0av heavier than 08-0lx ?
2409,last,comparee,tops design code,what,tops design code,tops design code,#,most,what is the last tops design code on this chart ?
2410,#,comparee,top speed,what,max speed,top speed,#,least,what is the top speed of the class 08
2411,first,comparee,score,what,score,score,#,least,what is the first score listed ?
2412,first,comparee,opponent,who,opponent,opponent,#,least,who is the first opponent listed on this chart ?
2413,last,comparee,date,what,date,date,#,most,what is the last date ?
2414,top,comparee,finished,#,horse,finished,#,least,name a horse that did not place in the top ten of the 1997 kentucky derby
2415,last,comparee,finished,#,horse,finished,#,most,name of horse that came in last in the 1997 kentucky derby
2416,top,comparee,horse's trainer,what,trainer,horse's trainer,#,least,what is the name of the top horse's trainer ?
2417,first,comparee,trainer,#,trainer,trainer,#,least,name of trainer of the horse that came in first in the 1997 kentucky derby
2418,first,comparee,finished,#,horse,finished,#,least,name of horse that finished first in the 1997 kentucky derby
2419,first,comparee,horse,what,horse,horse,name,least,what is the name of the trainer of the first place horse ?
2420,more,difference,titles,how many,team,titles,maccabi tel aviv,more,how many more titles did team maccabi tel aviv win than every other team combined ?
2421,first,index,team,was,team,team,#,least,"who, of the years on this list, was the first team to win ?"
2422,last,comparee,team,what,team,team,#,most,what is the last team ?
2423,most,comparee,titles,which,team,titles,team,most,which team has the most titles ?
2424,least,comparee,number of times,what,team,number of times,team,least,what team was the runner run the least number of times ?
2425,first,comparee,place,who,team,place,#,least,who is in first place ?
2426,more,difference,releases,how many,format,releases,compact disc,more,how many more releases were in compact disc format than cassette tape ?
2427,most,comparee,releases,which,year,releases,year,most,which year had the most releases ?
2428,most,comparee,releases,which,region,releases,country or region,most,which country or region had the most releases ?
2429,first,comparee,vinyl lp,what,date,vinyl lp,date,least,what was the date of the first vinyl lp release ?
2430,last,comparee,region,which,region,region,region,most,which region was the last to release ?
2431,more,index,tournament,which,year,tournament,2006,more,in which year did andrea koch benvenuto win more tournaments: 2006 or 2009 ?
2432,least,comparee,surface,which,surface,surface,surface,nan,which surface was played on the least ?
2433,most,comparee,consecutive tournaments,what,tournament,consecutive tournaments,#,most,what is the most consecutive tournaments won by andrea koch benvenuto ?
2434,last,comparee,tournament,what,tournament,tournament,#,most,what was the last tournament she won ?
2435,better,comparee,score,who,player,score,strange,nan,"who scored better, strange or frost ?"
2436,first,comparee,player,what,player,player,name,least,what is the name of the first player on this chart ?
2437,#,comparee,#,#,player,#,#,least,name each of the first place players
2438,most,comparee,leaders,which,country,leaders,country,most,which country had the most leaders ?
2439,longer,comparee,#,who,name,#,zhao,nan,"who ruled longer, zhao or zhaoxiang ?"
2440,first,comparee,from,which,name,from,si jun,nan,"which ruler came first, si jun or min ?"
2441,longest,comparee,#,which,name,#,king,nan,which king ruled the longest ?
2442,#,difference,acres,what,name,acres,hayley wood,nan,what is the difference between hayley wood and thorpe wood ?
2443,#,difference,acreage,what,name,acreage,madingley wood,nan,what is the acreage difference between madingley wood and hayley wood ?
2444,last,comparee,table entry,what,acres,table entry,the area (in acres),most,what is the area (in acres) of the last table entry ?
2445,least,comparee,number of acres and public access,which,name,number of acres and public access,ancient woods,least,which ancient woods have the least number of acres and public access ?
2446,more or less,index,attendance,was,date,attendance,"the saturday, april 13th game",less,"was the attendance more or less in the saturday, april 13th game compared to the saturday, may 11th"
2447,first,comparee,loss of the season,what,date,loss of the season,#,least,what was the date of the first loss of the season ?
2448,#,comparee,#,what,#,#,#,least,what is the total amount of attendance between the first and second weeks ?
2449,least,comparee,attendance,which,date,attendance,date,least,which date had the least attendance ?
2450,highest,comparee,score achieved by rhein fire,what,#,score achieved by rhein fire,#,most,what was the highest score achieved by rhein fire ?
2451,most,comparee,consective win streak,what,#,consective win streak,#,most,what was the teams most consective win streak ?
2452,greatest,comparee,size,what,year,size,year,most,what year saw the greatest size ?
2453,last,comparee,convention,when,year,convention,#,most,the last convention held outside of europe or north america was held when ?
2454,last,comparee,year,what,year,year,#,most,what is the last year on the chart ?
2455,most,comparee,game,which,year,game,year,most,which year has the most games ?
2456,last,comparee,year,what,year,year,year,most,what year was the last year in which the zx plaform was used in a business simulation video game ?
2457,last,comparee,platform,what,platform,platform,#,most,what is the last platform listed on this chart ?
2458,first,comparee,appearance of the platform ps1,what,year,appearance of the platform ps1,year,least,what year is the first appearance of the platform ps1 ?
2459,largest,comparee,number of stations serving it,which,area served,number of stations serving it,area,most,which area has the largest number of stations serving it ?
2460,most,comparee,full-power stations,which,area served,full-power stations,city,most,which city is served by the most full-power stations ?
2461,first,comparee,game,what,date,game,#,least,what was the first game which was won with a score over 70 points ?
2462,more,comparee,position,which,season,position,2007,more,"which year was more successful, 2007 or 2002 ?"
2463,worse,index,position,did,position,position,9th,less,"in 2000 they finished 9th in their division, did they perform better or worse the next season ?"
2464,most,comparee,section,what,section,section,section,nan,what section did they play in the most ?
2465,last,comparee,season,what,movements,season,#,most,what is listed under the movements column of the last season ?
2466,#,comparee,#,what,season,#,#,least,in what season did visby if gute fk finish first in division 2 tier 3 ?
2467,higher,comparee,round placement,which,year,round placement,2006,more,"which year had a higher round placement, 2006 or 2010 ?"
2468,first,comparee,car,#,car,car,#,least,the first car that murphy used in the new zealand v8 supercar
2469,most,comparee,consecutive years with a 1st place round result,what,team,consecutive years with a 1st place round result,team,most,what team had the most consecutive years with a 1st place round result ?
2470,#,difference,points,what,rider,points,erwan nigon,nan,what is the difference in points scored between erwan nigon and dirk heidolf ?
2471,more,comparee,points,who,rider,points,alex debon,more,"who received more points, alex debon or toni elias ?"
2472,first,comparee,position,which,rider,position,rider,least,which rider earned first position with 25 points ?
2473,larger,difference,#,how much,csa/cma 2009 population,#,the 2009 population of chicago,nan,how much larger was the 2009 population of chicago than the 2009 population of toronto ?
2474,more or less,index,projected increase 2009–2025,does,projected increase 2009–2025,projected increase 2009–2025,toronto's population grow,less,does toronto's population grow more or less than hamilton's ?
2475,larger,index,projected increase,what,area,projected increase,detroit,nan,what population center has the larger projected increase: detroit or cleveland ?
2476,least,comparee,projected increase 2009–2025,which,area,projected increase 2009–2025,cities population,nan,which cities population will grow the least ?
2477,largest,comparee,#,#,area,#,#,most,largest population center in michigan after detroit
2478,most,comparee,pillow pal,which,animal type,pillow pal,animal type,most,which animal type has the most pillow pals ?
2479,first,comparee,pillow pal,what,year,pillow pal,year,least,in what year were the first pillow pals introduced ?
2480,last,comparee,pillow pal,what,name,pillow pal,name,most,what is the name of the last pillow pal on this chart ?
2481,first,comparee,#,who,#,#,#,least,who came in first place in 1966 ?
2482,first,comparee,fbs opponent,whom,fbs opponent,fbs opponent,#,least,the first fbs opponent faced was whom ?
2483,first,comparee,year,what,year,year,year,least,what year was jay mills first year ?
2484,longest,comparee,head coach,who,#,head coach,#,most,who was the longest head coach ?
2485,#,comparee,candidate,#,candidates,candidate,#,least,name the only candidate that was first elected in 1811.
2486,last,comparee,party,what,party,party,#,most,what is the last party on this chart ?
2487,#,comparee,first elected in 1817,#,#,first elected in 1817,#,least,tell me the number of people first elected in 1817.
2488,higher,comparee,top speed,which,typ,top speed,prium 1.5 a,least,"which had the higher top speed, the prium 1.5 a or the trumpf 1.5 av ?"
2489,longest,comparee,construction times,which,typ,construction times,typ(s),most,which typ(s) had the longest construction times ?
2490,first,index,construction time,which,typ,construction time,#,nan,which was built first? the 4/8 ps or the k 5/13 ps ?
2491,last,comparee,construction time,which,typ,construction time,one,most,which one is the last in construction time
2492,most,comparee,capacity,which,typ,capacity,typ,most,which typ has the most capacity ?
2493,most,comparee,total medals,#,nation,total medals,#,most,nation that earned the most total medals after spain
2494,most,comparee,bronze medals,which,nation,bronze medals,country,most,which country has the most bronze medals in european baseball championships ?
2495,first,comparee,work,what,title,work,title,least,what was the title of terence cuneo's first work ?
2496,last,comparee,piece,what,title,piece,#,most,what was the last piece completed ?
2497,most,comparee,weight (lbs.),who,name,weight (lbs.),#,most,who weighs the most on the team ?
2498,most,index,acts,which,title,acts,la fortezza al cimento,most,"which opera has the most acts, la fortezza al cimento or astarto ?"
2499,least,comparee,silver medalists,which,sport,silver medalists,sport,least,which sport had the least silver medalists ?
2500,most,comparee,silver medals,what,sport,silver medals,sport,most,in what sport did india win the most silver medals ?
2501,first,comparee,airbase,what,name,airbase,#,least,what is the first airbase listed on the chart ?
2502,most,comparee,shelters,which,name,shelters,military,most,which military has the most shelters ?
2503,top,comparee,airbase name,what,name,airbase name,#,least,what is the top airbase name on the chart ?
2504,longer,index,length,which,title,length,"""turn tha party out""",nan,"which song is longer, ""turn tha party out"" or ""only when i'm drunk"" ?"
2505,#,difference,tonnage,what,name of ship,tonnage,the heaviest,nan,what is the difference in tonnage between the heaviest and the lightest ships ?
2506,top,comparee,amount of tonnage,which,name of ship,amount of tonnage,ship,least,which ship has the top amount of tonnage ?
2507,last,comparee,recorded ship,what,name of ship,recorded ship,#,most,what is the last recorded ship sunk on august 25 ?
2508,least,comparee,tonnage,was,name of ship,tonnage,#,least,boat with the least tonnage that was attacked
2509,largest,comparee,area,which,ecclesiastical jurisdictions,area,diocese,most,which diocese has the largest area under its jurisdiction ?
2510,first,comparee,diocese,what,ecclesiastical jurisdictions,diocese,#,least,what was the first dioceses established ?
2511,first,comparee,diocese,which,ecclesiastical jurisdictions,diocese,#,least,which was the first diocese to be formed ?
2512,least,comparee,area,what,ecclesiastical jurisdictions,area,diocese,least,what diocese has the least area ?
2513,most,comparee,often,which,type,often,type of dioceses,most,which type of dioceses appears most often ?
2514,more,comparee,often,which,north,often,kottern,more,"which name appears more often, kottern or bayreuth ?"
2515,first,comparee,club,what,north,club,#,least,what was the first club for the north in the 2000's ?
2516,last,comparee,team,#,west,team,#,most,the last team to win the west ?
2517,larger,index,sample size,which,poll source	,sample size,#,nan,"which poll source has the larger sample size, chicago sun-times or chicago tribune ?"
2518,largest,comparee,sample size,which,poll source	,sample size,poll source,most,which poll source has the largest sample size ?
2519,first,comparee,candidate,who,#,candidate,#,least,who is the first candidate to have over 25% ?
2520,#,comparee,#,how many,#,#,#,least,how many flags other than france (the first flag) are represented ?
2521,least,comparee,amount of laps,what,laps,amount of laps,#,least,what is the least amount of laps completed ?
2522,more or less,index,money,did,title,money,true romance,less,did true romance make more or less money than diabolique ?
2523,more or less,index,budget,was,title,budget,young guns,less,was the budget for young guns more or less than freejack's budget ?
2524,most,comparee,money,which,title,money,morgan creek film,most,which morgan creek film grossed the most money prior to 1994 ?
2525,top,comparee,grossing film,what,title,grossing film,#,least,what is the top grossing film ?
2526,last,comparee,movie,what,title,movie,#,most,what was the last movie morgan creek made for a budget under thirty million ?
2527,most,comparee,gross (worldwide),which,title,gross (worldwide),morgan creek film,most,which morgan creek film grossed the most worldwide ?
2528,more,index,grams of protein,do,staple:,grams of protein,potatoes,more,"in equal sized portions, do potatoes or plantains contain more grams of protein ?"
2529,#,difference,grams of water,what,staple:,grams of water,100g of wheat,nan,what is the difference in grams of water between 100g of wheat and 100g of rice ?
2530,highest,comparee,amount of magnesium,what,staple:,amount of magnesium,food,most,what food has the highest amount of magnesium ?
2531,least,comparee,amount of fat,what,staple:,amount of fat,staple,least,what staple has the least amount of fat ?
2532,highest,comparee,number of grams of carbohydrates in a 100 gram portion,which,staple:,number of grams of carbohydrates in a 100 gram portion,major staple foods,most,which of the major staple foods contains the highest number of grams of carbohydrates in a 100 gram portion ?
2533,most,comparee,potassium,what,staple:,potassium,staple,most,what staple has the most potassium ?
2534,last,difference,#,how many,#,#,#,most,in 1996 the sc house of representatives had a republican majority. how many years had passed since the last time this happened ?
2535,most,comparee,#,what,year,#,year,most,the year with the most independen/other was what ?
2536,first,comparee,player,#,player,player,#,least,first player to win with a score over 70 for one round ?
2537,most,comparee,winner's share ($),which,player,winner's share ($),player,most,which player earned the most between 2007 and 2013 in the western open ?
2538,last,comparee,winner of the western open(2013),who,player,winner of the western open(2013),#,most,who was the last winner of the western open(2013) ?
2539,least,comparee,number of strokes,which,player,number of strokes,player,least,which player won by the least number of strokes ?
2540,earliest,comparee,date of appointment,which,appointed successor,date of appointment,elected successor,nan,which elected successor took office the earliest ?
2541,last,comparee,single digit integer,what,#,single digit integer,#,most,"in the rinconada bikol language, what is the last single digit integer ?"
2542,least,comparee,percentage in india,what,religious group,percentage in india,#,least,what has the least percentage in india ?
2543,highest,comparee,percentage represented in india,which,religious group,percentage represented in india,religion,most,which religion has the highest percentage represented in india ?
2544,highest,comparee,population %,which,religious group,population %,religious group,most,which religious group has the highest population % ?
2545,more,comparee,recent execution,which,state,recent execution,delaware,more,which state had a more recent execution take place delaware or mississippi ?
2546,last,comparee,last execution on 5 february 2014,which,state,last execution on 5 february 2014,state,most,which state had their last execution on 5 february 2014 ?
2547,#,comparee,#,how long,#,#,#,least,how long has it been since the first hanging occurred ?
2548,closest,comparee,previous execution,what,state,previous execution,state,least,arizona last put someone to death in october 2013 what state had the closest previous execution ?
2549,#,comparee,#,what,method,#,means of execution,most,alabama last put someone to death in 2013 what was its means of execution ?
2550,largest,comparee,consecutive amount of states,what,#,consecutive amount of states,#,most,alphabetically what is the largest consecutive amount of states that use lethal injection ?
2551,least,comparee,number of years,which,name (birth–death),number of years,governor,least,which governor served for the least number of years ?
2552,longest,comparee,term,which,name (birth–death),term,governor-general,most,which governor-general served the longest term from 1910 to 1961 ?
2553,least,comparee,amount of females,#,language,amount of females,#,least,the least amount of females
2554,least,comparee,female speakers,which,language,female speakers,language,least,which language had the least female speakers ?
2555,top,comparee,language,what,language,language,#,least,what was the top language from the one's whose percentage was >0.01
2556,#,comparee,commonly spoken language,what,language,commonly spoken language,#,most,what was the next most commonly spoken language in poland after russian ?
2557,highest,comparee,percentage of speakers,what,language,percentage of speakers,#,most,what is the highest percentage of speakers other than polish ?
2558,most,comparee,number of people speaking it,which,language,number of people speaking it,language,most,which language had the most number of people speaking it.
2559,least,comparee,amount of time,which,single,amount of time,single,least,which single spent the least amount of time on the us hot 100 ?
2560,most,comparee,marriages,which,name,marriages,monarch,most,which monarch had the most marriages ?
2561,first,comparee,name,which,name,name,monarch,nan,which monarch is listed first ?
2562,longer,index,#,who,name,#,helgi thordersen,nan,"who served longer, helgi thordersen or geir vidalin ?"
2563,first,comparee,bishop of iceland,whose,name,bishop of iceland,#,least,who was the first bishop of iceland whose father was also a bishop of iceland ?
2564,longest,comparee,tenure to date,who,name,tenure to date,#,most,who among iceland's lutheran bishops has held the longest tenure to date ?
2565,#,difference,korzeniowski's performance,what,year,korzeniowski's performance,1996 olympic games,nan,what was the difference between korzeniowski's performance at the 1996 olympic games and the 2000 olympic games in the 20 km walk ?
2566,#,comparee,#,how many,#,#,#,least,how many times was first place listed as the position ?
2567,last,comparee,competition,what,year,competition,year,most,in what year was korzeniowski's last competition ?
2568,most,comparee,position,which,venue,position,venue,nan,which venue is listed the most ?
2569,same,comparee,height,what,model name,height,model,equal,what model has the same height as the mega disk'o ?
2570,tallest,comparee,position,which,model name,position,model,nan,which model was the tallest ?
2571,top,comparee,number of contestants,which,#,number of contestants,competition,least,which competition had the top number of contestants ?
2572,least,comparee,number of contestants,what,year,number of contestants,year,least,what year had the least number of contestants ?
2573,first,comparee,location(s),what,location(s),location(s),name,least,what is the name of the location listed first on this list ?
2574,first,comparee,winner men's winner,who,men's winner,winner men's winner,#,least,"who was the first winner men's winner, in 1965 ?"
2575,top,comparee,number of contestants,which,year,number of contestants,year,least,which year had the top number of contestants competing for the title ?
2576,most,comparee,#,was,men's winner,#,name,most,who's name was listed the most under male winner's.
2577,first,comparee,player,what,player,player,name,least,what is the name of the first player on this list ?
2578,first,comparee,band number,what,#,band number,#,least,what is the first band number listed on this chart ?
2579,more,index,guests of honor,were,year,guests of honor,2003,more,were there more guests of honor in 2003 than in 2001 ?
2580,most,comparee,guests of honor,which,year,guests of honor,swecon,most,which swecon has had the most guests of honor ?
2581,least,comparee,guests of honor,which,year,guests of honor,swecon,least,which swecon has had the least guests of honor ?
2582,last,comparee,location,which,location,location,location,most,which location is listed last in the table ?
2583,#,comparee,best mark,which,athlete,best mark,athlete,nan,which athlete had the best mark before renate culmberger ?
2584,least,comparee,number of metres,which,athlete,number of metres,athlete,least,which athlete has the least number of metres ?
2585,#,comparee,best mark,which,athlete,best mark,athlete am,nan,which athlete am in next with the best mark after galina zybina ?
2586,last,comparee,recorded throw for valerie young,what,throw 6,recorded throw for valerie young,#,most,what was the last recorded throw for valerie young ?
2587,last,comparee,player,who,player,player,#,least,who was the last player in the top 10 ?
2588,first,comparee,place,which,player,place,two players,least,which two players tied for first place ?
2589,more,index,points,did,song,points,"""gitara""",more,"did the song ""gitara"" or ""yesh"" earn more points ?"
2590,#,comparee,#,which,artist,#,artist,nan,which artist had almost no points ?
2591,least,comparee,amount of points,which,artist,amount of points,#,least,"compare draws, which had the least amount of points ?"
2592,most,comparee,points,what,song,points,song,most,what song earned the most points ?
2593,#,comparee,#,what,#,#,#,least,what are the number of times an artist earned first place ?
2594,most,comparee,points,which,artist,points,artist(s),most,"doron mazar, which artist(s) had the most points ?"
2595,least,comparee,amount of points,what,artist,amount of points,artist,least,what artist received the least amount of points in the competition ?
2596,first,comparee,song,what,song,song,#,least,what is the name of the first song listed on this chart ?
2597,highest,comparee,population,what,city,population,city,most,what city is listed at the top of the table as having the highest population ?
2598,last,comparee,population,which,city,population,#,most,which is the last city for population in the year 2001 ?
2599,#,comparee,#,how many,#,#,#,least,"how many goals did the flyers allow in the 1973-74 season, the least in the league ?"
2600,top,comparee,goal scorer,who,#,goal scorer,#,least,who was the top goal scorer ?
2601,largest,comparee,religious denomination,what,denomination,religious denomination,#,most,what is the largest religious denomination in budapest ?
2602,largest,comparee,percentage in 1880,which,denomination,percentage in 1880,denomination,most,which denomination held the largest percentage in 1880 ?
2603,highest,comparee,margin,which,denomination,margin,denomination,most,which denomination has the highest margin ?
2604,most,comparee,#,which,denomination,#,denomination percentage,most,which denomination percentage increased the most after 1949 ?
2605,first,comparee,city,what,city,city,#,least,what was the first city brian and roger played in ?
2606,last,comparee,venue,what,venue,venue,#,most,what was the last venue brian preformed in ?
2607,first,comparee,tour date of 2010,was,date,tour date of 2010,#,least,when was the first tour date of 2010 ?
2608,last,comparee,tour date of 2010,was,date,tour date of 2010,#,most,when was the last tour date of 2010 ?
2609,first,comparee,driver,who,car,driver,#,least,who was the first place driver ?
2610,highest,comparee,scorer,who,driver,scorer,#,most,who was the next highest scorer after max twigg ?
2611,most,comparee,members,which,car,members,car,most,which car was driven by the most members ?
2612,first,comparee,driver,what,car,driver,type of car,nan,what type of car was driven by the person in first ?
2613,last,comparee,place,what,driver,place,driver,most,what driver came in last place ?
2614,top,comparee,ranked driver,what,car,ranked driver,car,least,what car was driven by the top ranked driver ?
2615,more,index,win,did,home/away,win,home,more,did they win more and home or away ?
2616,#,difference,score,what,#,score,the barrage,nan,what was the difference in score between the barrage and the lizards on june 2.
2617,most,comparee,consecutive wins,what,#,consecutive wins,#,most,what is the most consecutive wins the barrage have had this season ?
2618,most,comparee,points,what,result,points,#,most,what is the most points that the barrage have scored at home ?
2619,last,comparee,member,which,by-election,member,member,most,which member was the last member to join the 10th canadian parliament ?
2620,most,comparee,members,which,party,members,party,most,which party had the most members in the 10th canadian parliament ?
2621,last,comparee,partner,who,partner,partner,#,most,who is the last partner listed ?
2622,first,comparee,year that net profit was above ￡120 million,what,financial year,year that net profit was above ￡120 million,#,least,what was the first year that net profit was above ￡120 million ?
2623,best,comparee,year for profit,what,financial year,year for profit,#,nan,what was the best year for profit before 2010 ?
2624,least,comparee,net profit,what,financial year,net profit,year,least,what year had the least net profit ?
2625,first,comparee,opponent,who,opponent,opponent,#,least,who was the first opponent he lost too ?
2626,more,index,goals,did,opponent,goals,st albans,more,did st albans score more goals against ruislip manor or the tufnell spartans ?
2627,first,comparee,record,what,record,record,#,least,what was the first record broken ?
2628,#,difference,height,what,name,height,the tallest building constructed in the 1960s,most,what is the difference in height between the tallest building constructed in the 1960s and the tallest building constructed in the 1980's ?
2629,#,comparee,#,which,name,#,#,most,"of the ten tallest buildings in oakland, which was not built in the last 75 years ?"
2630,#,difference,elevation,#,station,elevation,"mount montezuma, chile",nan,"elevation difference in mount montezuma, chile and mount brukkaros, namibia"
2631,first,comparee,station,what,station,station,#,least,what was the very first station to open ?
2632,last,comparee,recorded opening date,was,station,recorded opening date,#,most,when was the last recorded opening date of an observatory ?
2633,top,comparee,elevation,is,station,elevation,#,least,the top elevation measured for this station is 2591m
2634,first,comparee,opened station,#,station,opened station,#,least,the first opened station
2635,first,comparee,mercedez,what,#,mercedez,#,least,what was the first mercedez to win world green car ?
2636,top,comparee,car design of the year in 2008,who,#,car design of the year in 2008,#,least,who was the top car design of the year in 2008 ?
2637,taller,index,#,which,name,#,aep building,nan,"which is taller, the aep building or the one columbus center ?"
2638,tallest,comparee,building,what,name,building,#,most,what is the tallest building in columbus ?
2639,tallest,comparee,building,which,name,building,#,most,which is the tallest building ?
2640,first,comparee,title,what,title,title,#,least,what is the first title on this chart ?
2641,last,comparee,game,what,title,game,#,most,what was the last game created by spicy horse
2642,last,comparee,title,what,platforms,title,platform,most,what platform was used for the last title on this chart ?
2643,last,comparee,title,what,title,title,#,most,"according to the table, what is the last title that spicy horse produced ?"
2644,most,comparee,position,which,competition,position,competition,nan,which competition occurred the most ?
2645,most,comparee,goals,which,season,goals,season,most,in which season did gunter thiebaut score the most goals ?
2646,least,comparee,amount of total goals,which,country,amount of total goals,country,least,which country has the least amount of total goals ?
2647,less,index,#,were,census subdivision,#,ottawa,less,were there more or less people living in ottawa than in vancouver in 2011 ?
2648,larger,index,land area,which,census subdivision,land area,edmonton,nan,"which census subdivision has a larger land area, edmonton or winnipeg ?"
2649,most,comparee,population,which,province,population,province,most,which province has the most population on the table ?
2650,#,comparee,#,how many,census subdivision,#,#,most,"of the top 10 most heavily populated census subdivisions in 2011, how many located were in ontario ?"
2651,largest,comparee,change in population,which,census subdivision,change in population,subdivision,most,"between 2006-2011, which subdivision had the largest change in population? (%)"
2652,least,comparee,growth,which,census subdivision,growth,#,least,"of the municipalities with positive population growth in the years 2006-2011, which had the least growth ?"
2653,most,comparee,land in square kilometers,which,census subdivision,land in square kilometers,area,most,which area covers the most land in square kilometers ?
2654,largest,comparee,population,what,#,population,#,most,what was the total population of the five largest cities in the province of ontario in 2006 ?
2655,top,comparee,census subdivision,which,census subdivision,census subdivision,subdivision,least,which subdivision is at the top of the list ?
2656,first,comparee,round,what,#,round,total number of centers,least,what was the total number of centers selected in the first round ?
2657,last,comparee,municipality,what,municipality,municipality,#,most,"in alphabetical order, what is the last municipality ?"
2658,#,difference,album release dates,what,year,album release dates,#,most,what was the biggest difference in years between album release dates ?
2659,top,comparee,us chart,which,song,us chart,track,least,which track is at the top of the us chart ?
2660,most,comparee,song,which,song,song,album,most,which album contained the most successful song in the charts ?
2661,least,comparee,number of singles released,which,year,number of singles released,years,least,which years had the least number of singles released ?
2662,highest,comparee,us country position,which,song,us country position,song,most,which song had the highest us country position ?
2663,least,comparee,number of employees,which,company,number of employees,company,least,which company has the least number of employees ?
2664,top,comparee,revenue,what,company,revenue,company,least,what company has the top revenue ?
2665,highest,comparee,revenue,what,company,revenue,company,most,what is the company with the highest revenue in the automotive industry ?
2666,top,comparee,ranking,which,company,ranking,company,most,which company is ranked at the top with the largest revenue ?
2667,last,comparee,date,what,date,date,#,most,what is the last date shown for february 2010 ?
2668,last,comparee,event,what,date,event,date,most,what is the date of the last event listed ?
2669,most,comparee,start records,what,athlete(s),start records,country,most,what country has the most start records ?
2670,first,comparee,game,what,date,game,date,least,what was the date of the first game won by the smu mustangs ?
2671,first,comparee,game,where,site,game,site,least,where was the site of the first game ?
2672,more,index,win,did,name,win,australian open,more,did he win more at the australian open or indian wells ?
