,index,table_title,table_context,query_type,standard,question_word,comparee_type,parameter,comparee,answer,question
2230,first,Tony Roche,Outcome No. Date Championship Surface Partner Opponents in the final Score in the final,comparee,doubles title,what,year,doubles title,year,least,in what year did roche win his first doubles title ?
2231,last,Tony Roche,Outcome No. Date Championship Surface Partner Opponents in the final Score in the final,comparee,wimbledon won,was,year,wimbledon won,#,most,when was the last wimbledon won ?
2232,first,Tony Roche,Surface,comparee,game,where,surface,game,type of surface,least,what type of surface was played on in the first game where the opponent in the final included an american ?
2233,more,2012–13 Israeli Basketball Super League,PERSON Stadium Stadium,index,people,which,stadium,people,yeshurun,more,"which stadium holds more people, yeshurun or holon city."
2234,#,2012–13 Israeli Basketball Super League,Team,comparee,#,what,team,#,#,most,what team other than maccabi tel aviv placed 1st last season ?
2235,most,2012–13 Israeli Basketball Super League,Stadium,comparee,people,which,stadium,people,stadium,most,which stadium can seat the most people ?
2236,#,Gene Paul,Album,difference,number,what,album,number,top ten jazz records that gene paul has engineered,least,what is the difference between the number of top ten jazz records that gene paul has engineered and the number of top ten country records that he has engineered ?
2237,more,Hans-Joachim Stuck,DURATION DATE Year Laps Year,comparee,laps,which,year,laps,1988,more,"which year had more laps, 1988 or 1985 ?"
2238,last,Hans-Joachim Stuck,Team,comparee,team,what,team,team,#,most,what was the last team he raced for ?
2239,first,"List of public art in Washington, D.C., Ward 6",Title,comparee,work,what,title,work,#,least,what was the first work completed ?
2240,first,"List of public art in Washington, D.C., Ward 6",Artist,comparee,#,which,artist,#,artist,least,which artist is listed first in the table ?
2241,first,"List of public art in Washington, D.C., Ward 6",DURATION PERSON|PERSON|PERSON|O Title Year Title,comparee,year,what,title,year,george gordon meade memorial,nan,"what title was released first, george gordon meade memorial or american legion freedom bell."
2242,last,List of U.S. cities with significant Korean-American populations,Rank City,comparee,rank,which,city,rank,city,nan,which city is ranked last ?
2243,top,List of U.S. cities with significant Korean-American populations,City,comparee,city,what,city,city,#,least,what is the top city for percent korean-american population ?
2244,first,List of U.S. cities with significant Korean-American populations,Rank City,comparee,rank,which,city,rank,city,least,which city is ranked first on the list ?
2245,most,List of U.S. cities with significant Korean-American populations,County,comparee,representation,which,county,representation,county,most,which county has the most representation ?
2246,#,List of U.S. cities with significant Korean-American populations,Rank City County State Percentage,comparee,#,what,#,#,#,least,what is the number of cities in new jersey on the top ten list ?
2247,last,All-Japan University Rugby Championship,University,comparee,championship,who,university,championship,#,most,who won the last championship recorded on this table ?
2248,most,All-Japan University Rugby Championship,University,comparee,years,which,university,years,university,most,which university had the most years won ?
2249,#,2010 French Open,Points Points defending,difference,points,what,points defending,points,juan martin del potro won defending,nan,what is the difference between the points juan martin del potro won defending and his new points ?
2250,first,2010 French Open,Player New points,comparee,new points,who,player,new points,#,least,who came in first when it comes to new points ?
2251,highest,2010 French Open,Player,comparee,number of points,which,player,number of points,player,most,which player was defending the highest number of points at the time of his withdrawal from the 2010 french open ?
2252,highest,2010 French Open,Player,comparee,ranking player,who,player,ranking player,#,most,who was the highest ranking player to withdraw from the 2010 french open tournament ?
2253,most,Switched-mode power supply,Type,comparee,consecutive watts,which,type,consecutive watts,power supply,most,which power supply can handle the most consecutive watts ?
2254,most,Switched-mode power supply,Type,comparee,in power and input range,which,type,in power and input range,type,most,which type is the most in power and input range
2255,#,CD Santa Marta,Season Tier Division Place,comparee,#,what,#,#,#,most,in the last season 2011-2012 what was the teams finishing place ?
2256,higher,Long Island Solar Farm,Location Number of arrays,comparee,number of arrays,which,location,number of arrays,north county,more,"which project location has a higher number of arrays, north county or deer park ?"
2257,lowest,Long Island Solar Farm,Location,comparee,outupt,which,location,outupt,project location,nan,which project location has the lowest outupt ?
2258,last,Boyz n da Hood (album),Title,comparee,title,what,title,title,track,most,what track was drumma boy's last on the album ?
2259,longest,Boyz n da Hood (album),# Title,comparee,song,what,title,song,#,most,what is the longest song ?
2260,more or less,1973 Asian Athletics Championships,LOCATION Nation,index,bronze medals,did,#,bronze medals,taiwan,less,did taiwan receive more or less bronze medals than singapore ?
2261,more,1973 Asian Athletics Championships,Nation,comparee,3 bronze metals,how many,nation,3 bronze metals,#,more,how many countries won more than 3 bronze metals ?
2262,top,1973 Asian Athletics Championships,Nation,comparee,ranked nation,who,nation,ranked nation,#,least,who is the top ranked nation ?
2263,top,1981 Wisconsin Badgers football team,Attendance,comparee,attendance,what,attendance,attendance,#,least,what was the top attendance of the 1981's games ?
2264,largest,1981 Wisconsin Badgers football team,Date Opponent# Rank# Site Result Attendance,comparee,number of consecutive wins,what,#,number of consecutive wins,#,most,what is the largest number of consecutive wins ?
2265,#,List of film lists,DATE 2015,difference,#,what,#,#,2015,nan,"mathematically speaking, what is the difference between 2015 and 1912 ?"
2266,earliest,List of film lists,2010s 2010 2011 2012 2013 2014 2015 2016 2017 2018 ,comparee,year,what,#,year,#,least,what is the earliest year that a film was released ?
2267,#,Daegu FC,DATE Season Season,difference,position,what,season,position,2011,nan,what was the difference in position between 2011 and 2012 for daegu fc in the k league classic ?
2268,most,Daegu FC,Season Pos.,comparee,pos.,which,season,pos.,year,most,which year was the most pos.
2269,least,Daegu FC,Season,comparee,amount of teams,what,season,amount of teams,year,least,what year had the least amount of teams that competed ?
2270,longer,List of highway route numbers in Oregon,Number,index,#,which,number,#,us route 630,nan,"which route existed longer, us route 630 or us route 30n ?"
2271,newer,List of highway route numbers in Oregon,Number Number,index,#,is,number,#,oregon route 69,nan,is oregon route 69 newer than oregon route 90 ?
2272,first,List of highway route numbers in Oregon,Number,comparee,route,what,number,route,#,least,what was the first route formed in the 1960's ?
2273,first,List of highway route numbers in Oregon,Number Eliminated,comparee,eliminated,which,number,eliminated,route,nan,which route was eliminated first ?
2274,more,South Korea Davis Cup team,Player,comparee,total wins,who,player,total wins,eui-jong,more,"who had more total wins, eui-jong or se-hyun ?"
2275,better,South Korea Davis Cup team,Player,index,singles record,who,player,singles record,boo-kil,more,"who had a better singles record, boo-kil or seung-bok ?"
2276,longer,South Korea Davis Cup team,DURATION|O Player Years Played,index,years played,whose,player,years played,kyu-tae,nan,"whose was on the squad longer, kyu-tae or hee-sung ?"
2277,most,South Korea Davis Cup team,Player,comparee,years,who,player,years,#,most,who played for the most years ?
2278,#,"List of New York State Historic Markers in Sullivan County, New York",NUMBER Marker name ,index,#,is,marker name,#,2,nan,is there a difference between marker name 2 and 4 ?
2279,fastest,2011 Indianapolis 500,Driver,comparee,#,who,driver,#,#,nan,who raced the fastest ?
2280,better,2005 Asian Athletics Championships – Women's javelin throw,Name Result,comparee,result,who,name,result,toshida,nan,"who performed better, toshida or young-sun ?"
2281,last,2005 Asian Athletics Championships – Women's javelin throw,Nationality,comparee,nationality,what,nationality,nationality,#,most,what is the last nationality on the list ?
2282,best,2005 Asian Athletics Championships – Women's javelin throw,Name,comparee,time,who,name,time,#,nan,who had the next best time after dusmetova.
2283,top,2005 Asian Athletics Championships – Women's javelin throw,Rank Name,comparee,rank,who,name,rank,#,nan,who is at the top ?
2284,last,2006 European Athletics Championships – Men's high jump,Nationality,comparee,nationality,what,nationality,nationality,#,most,what is the last nationality listed in the table ?
2285,last,Miss Pokhara,DURATION Year,comparee,win the miss nepal award,what,year,win the miss nepal award,year,most,in what year did miss pokhara last win the miss nepal award ?
2286,first,Miss Pokhara,Representative,comparee,winner of miss nepal,who,representative,winner of miss nepal,#,least,who was the first winner of miss nepal ?
2287,last,Miss Pokhara,Representative,difference,name,how many,representative,name,representatives,most,how many representatives have the last name gurung ?
2288,more,Gran Cochisse,PERSON|PERSON Winner Winner,difference,games,how many,winner,games,sangre chicana,more,how many games more than chamaco valaguez did sangre chicana win ?
2289,first,Gran Cochisse,Date,comparee,match,was,date,match,#,least,when was gran chochisse first match that had a full date on record ?
2290,first,Gran Cochisse,Date,comparee,game,when,date,game,#,least,when did bruno victoria lose his first game ?
2291,most,1915 Michigan Wolverines football team,Player Weight,comparee,weight,who,player,weight,#,nan,who weighed the most ?
2292,tallest,1915 Michigan Wolverines football team,Player Position,comparee,fullback,who,player,fullback,#,most,who was the tallest fullback ?
2293,most,1915 Michigan Wolverines football team,Player Weight,comparee,weight,which,player,weight,player,most,which player weighed the most on the letter winners roster ?
2294,least,1915 Michigan Wolverines football team,Player Weight,comparee,weight,which,player,weight,roster letter winner,nan,which roster letter winner weighed the least ?
2295,smallest,1915 Michigan Wolverines football team,Player,comparee,player,who,player,player,#,least,who was the smallest player ?
2296,more,Girl on Fire (song),LOCATION Region Region,index,#,which,region,#,france,more,"which region appears more on this list, france or united states ?"
2297,first,Girl on Fire (song),Region,comparee,country,what,region,country,#,least,what was the first country to get the radio ad ?
2298,last,Girl on Fire (song),Region,comparee,country,what,region,country,#,most,what the last country to issue a release ?
2299,#,Bulgaria at the 1988 Winter Olympics,Athlete Event Race 1\nTime Race 2\nTime Total\nTime Total\nRank,difference,time for petar popangelov,what,#,time for petar popangelov,race 1,nan,what is the difference in time for petar popangelov in race 1and 2
2300,#,Bulgaria at the 1988 Winter Olympics,Athlete,comparee,#,which,athlete,#,#,least,which athlete finished the first race but did not finish the second race ?
2301,last,Bulgaria at the 1988 Winter Olympics,Athlete,comparee,rank,who,athlete,rank,#,most,who was last in the slalom overall ?
2302,highest,Bulgaria at the 1988 Winter Olympics,Athlete,comparee,rank,who,athlete,rank,#,most,who has the highest rank ?
2303,larger,2013–14 Bethune-Cookman Wildcats men's basketball team,Date Attendance,difference,attendance,how much,date,attendance,#,nan,how much larger was the attendance on 11/25/2013 than 12/21/2013 ?
2304,#,DYAP-FM,MISC Location Location,difference,kw,what,location,kw,naga,nan,what is the difference in kw between naga and bacolod radio ?
2305,least,DYAP-FM,Branding,comparee,power,which,branding,power,stations,least,which of these stations broadcasts with the least power ?
2306,last,DYAP-FM,Location,comparee,location,what,location,location,#,most,what is the last location on this chart ?
2307,most,DYAP-FM,Branding,comparee,mhz,what,branding,mhz,radio,most,what is the radio with the most mhz ?
2308,least,DYAP-FM,Branding,comparee,about of mhz,what,branding,about of mhz,radio,least,what is the radio with the least about of mhz ?
2309,#,List of airlines of Uganda,AIRLINE ICAO IATA CALLSIGN COMMENCED\nOPERATIONS,difference,time,what,#,time,air uganda commenced operations,nan,what is the difference between the time air uganda commenced operations and skyjet airlines commenced operations ?
2310,#,List of airlines of Uganda,AIRLINE ICAO IATA CALLSIGN COMMENCED\nOPERATIONS,difference,commenced operations,how long,#,commenced operations,the operations first commenced,most,how long between the operations first commenced and the last airline to commence operations ?
2311,#,List of airlines of Uganda,AIRLINE ICAO IATA CALLSIGN COMMENCED\nOPERATIONS,comparee,#,what,#,#,#,least,what number of airlines use the first letter of their name in their icao ?
2312,larger,2006 Grand Prix motorcycle racing season,Team,comparee,#,which,team,#,team,nan,which team was larger than the rest ?
2313,first,2006 Grand Prix motorcycle racing season,Team,comparee,team,what,team,team,name,least,what is the name of the first team on this chart ?
2314,last,2006 Grand Prix motorcycle racing season,Rider,comparee,rider,what,rider,rider,name,most,what is the name of the last rider on this chart ?
2315,same,2006 Grand Prix motorcycle racing season,Team,index,riders,are,team,riders,the camel yamaha team,equal,are the riders of the camel yamaha team the same as tech 3 yamaha ?
2316,more,List of aircraft of Canada's air forces,Name,index,# used,where,name,# used,avro 504s,more,where there more avro 504s or douglas digbys ?
2317,more,List of aircraft of Canada's air forces,Name,index,in service,which,name,in service,the hawker hart,more,which hawker had more in service. the hawker hart or the hawker hind ?
2318,top,List of aircraft of Canada's air forces,Name,comparee,number of aircraft,which,name,number of aircraft,aircraft,least,which aircraft has the top number of aircraft in service ?
2319,most,List of aircraft of Canada's air forces,Name 1968 CF\ndesignator Place of\nmanufacture Primary\nrole(s) Service\nperiod #\nused,index,canadian air forces planes,did,place of manufacture,canadian air forces planes,the uk,most,did the uk or the us manufacture the most canadian air forces planes ?
2320,fastest,Swimming at the 2008 Summer Paralympics – Women's 200 metre individual medley SM13,Time,comparee,time,how long,time,time,#,nan,how long was the fastest time in the race ?
2321,last,Swimming at the 2008 Summer Paralympics – Women's 200 metre individual medley SM13,Nationality,comparee,place,what,nationality,place,country,most,from what country did the last place compete for ?
2322,slowest,Swimming at the 2008 Summer Paralympics – Women's 200 metre individual medley SM13,Name Time,comparee,time,who,name,time,#,nan,who had the slowest time in the race ?
2323,older,List of Grade I listed buildings in Salisbury,Name Date Name,index,date,which,name,date,68 west walk,nan,"which is older, 68 west walk or leaden hall ?"
2324,older,List of Grade I listed buildings in Salisbury,Name Date,difference,date,how much,name,date,harnham bridge (or ayleswade bridge),nan,how much older is harnham bridge (or ayleswade bridge) than the trinity street almshouses ?
2325,least,1921–22 Huddersfield Town F.C. season,Name Nation Position League Apps League Goals FA Cup Apps FA Cup Goals Total Apps Total Goals,comparee,number of total appearances,#,#,number of total appearances,#,least,the least number of total appearances
2326,last,1921–22 Huddersfield Town F.C. season,Name,comparee,name,what,name,name,#,most,what is the last name listed on this chart ?
2327,most,1921–22 Huddersfield Town F.C. season,Nation,comparee,appearances,#,nation,appearances,#,most,name the nation with the most appearances.
2328,first,1921–22 Huddersfield Town F.C. season,Name,comparee,name,what,name,name,#,least,what is the first name listed ?
2329,least,1921–22 Huddersfield Town F.C. season,Position,comparee,amount of times,which,position,amount of times,position,least,which position is listed the least amount of times on this chart ?
2330,least,"Westmorland County, New Brunswick",Designation Designation,comparee,area,which,official name	,area,city,least,which city has the least area
2331,largest,"Westmorland County, New Brunswick",Population Designation Designation,comparee,population,which,official name	,population,city,most,which city has the largest population ?
2332,most,"Westmorland County, New Brunswick",Official Name Designation Area km2 Population Parish,comparee,number of people,which,official name	,number of people,municipality,most,which municipality has the most number of people who reside in it ?
2333,more,1946 Notre Dame Fighting Irish football team,Date Opponent# Rank# Site Result,index,on average,did,#,on average,when they were ranked,more,did the fighting irish score more on average when they were ranked or when they were unranked ?
2334,highest,1946 Notre Dame Fighting Irish football team,Date Opponent# Rank# Site Result,comparee,number of consecutive wins,what,#,number of consecutive wins,#,most,what is the highest number of consecutive wins that the fighting irish had in the 1946 season ?
2335,most,Crystal Bicycle,Best Young Rider,comparee,best young rider awards,who,best young rider,best young rider awards,#,most,who has won the most best young rider awards ?
2336,most,Crystal Bicycle,Year Crystal Bicycle\n(Best Professional Cyclist) Best Young Rider Best Manager Crystal Drop of Sweat\n(Best Helper),comparee,consecutive crystal bicycles,who,crystal bicycle (best professional cyclist),consecutive crystal bicycles,#,most,who won the most consecutive crystal bicycles ?
2337,#,Athletics at the 2005 Summer Universiade – Women's 200 metres,LOCATION Nationality Time Nationality,difference,time,what,nationality,time,mexico,nan,what is the difference between mexico and brazil time
2338,top,Athletics at the 2005 Summer Universiade – Women's 200 metres,Athlete,comparee,athlete from poland,who,athlete,athlete from poland,#,least,who is the top athlete from poland
2339,faster,Athletics at the 2005 Summer Universiade – Women's 200 metres,PERSON|PERSON Athlete Time Athlete,index,time,did,athlete,time,adrienne power,nan,did adrienne power or kim wall have a faster time ?
2340,least,Athletics at the 2005 Summer Universiade – Women's 200 metres,Rank Nationality,comparee,rank,which,nationality,rank,country,nan,which country ranks the least ?
2341,more,Somerset County Cricket Club in 1890,Player Runs,difference,runs,how many,player,runs,john,more,how many more runs does john have than albert ?
2342,least,Somerset County Cricket Club in 1890,Runs,comparee,about of runs,what,runs,about of runs,#,least,what is the least about of runs anyone has ?
2343,least,Somerset County Cricket Club in 1890,Player,comparee,amount of runs,which,player,amount of runs,player,least,which player had the least amount of runs ?
2344,#,Łukasz Kubot,MISC Tournament Tournament,difference,wins,what,tournament,wins,wimbledon,nan,what is the difference in wins between wimbledon and the us open for this player ?
2345,largest,Łukasz Kubot,Tournament,comparee,total win record,which,tournament,total win record,tournament,most,which tournament has the largest total win record ?
2346,higher,Łukasz Kubot,DATE 2004 Tournament,comparee,year end ranking,which,#,year end ranking,2004,nan,"which year end ranking was higher, 2004 or 2011 ?"
2347,best,Łukasz Kubot,Tournament 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 W–L,comparee,year end ranking achieved,what,#,year end ranking achieved,year,nan,in what year was the best year end ranking achieved ?
2348,first,IOPS,Device,index,#,which,device,#,#,nan,"which interface appears first, sata 6 gbit/s or pcie ?"
2349,least,IOPS,Device IOPS,comparee,iops,which,device,iops,device,least,which device has the least iops
2350,longest,2013–14 Harrisburg Heat season,Game Day Date Kickoff Opponent Results\nScore Results\nRecord Location Attendance,difference,losing streak,how long,#,losing streak,#,most,how long was the teams longest losing streak ?
2351,first,2013–14 Harrisburg Heat season,Opponent,comparee,opponent,which,opponent,opponent,opponent,least,which opponent is listed first in the table ?
2352,first,2013–14 Harrisburg Heat season,Opponent,comparee,opponent,who,opponent,opponent,#,least,who was the first opponent on this list ?
2353,longer,ACM Multimedia,DURATION DATE Year Year,comparee,#,which,year,#,2008,nan,"which conference ws longer, 2008 or 2010 ?"
2354,most,ACM Multimedia,City,comparee,city,what,city,city,city,nan,"previous to 2000, what city was listed the most ?"
2355,longer,List of mayors of Seattle,PERSON|PERSON Name Name,index,#,did,name,#,charles royer,more,did charles royer hold office longer than paul schell ?
2356,first,List of mayors of Seattle,Name Elected Term began Term ended,comparee,name of john,what,#,name of john,number of mayors,least,what is the number of mayors with the first name of john ?
2357,first,List of mayors of Seattle,Name,comparee,mayor,who,name,mayor,#,least,who was the first mayor in the 1900's ?
2358,#,2012 Washington Nationals season,Date Attendance,difference,attendance,what,date,attendance,the game on july 7th,nan,what was the difference in attendance between the july 7th game and the july 8th game ?
2359,#,2012 Washington Nationals season,Date Attendance,difference,attendance,what,date,attendance,the game on july 7th,nan,what is the difference in attendance between the game on july 7th and the game on july 8th ?
2360,most,2012 Washington Nationals season,Save,comparee,saves,which,save,saves,player,most,which player with the most saves
2361,first,2002–03 FA Trophy,Away Team,comparee,away team,who,away team,away team,#,least,who is the first away team on the list ?
2362,least,2002–03 FA Trophy,Home Team,comparee,number of people in attendance,which,home team,number of people in attendance,game,least,which game had the least number of people in attendance ?
2363,shortest,2002–03 FA Trophy,Tie Home Team Score Away Team Attendance,difference,name of one of the teams,how long,#,name of one of the teams,#,least,how long is the shortest name of one of the teams ?
2364,least,2002–03 FA Trophy,Attendance,comparee,attendance,which,#,attendance,match,least,which match had the least in attendance ?
2365,highest,List of members of the United States House of Representatives who died in 1987,Party,comparee,number of deaths,which,party,number of deaths,party,most,which party has the highest number of deaths ?
2366,first,List of members of the United States House of Representatives who died in 1987,Representative,comparee,death,who,representative,death,#,least,who was the first death in the republican party ?
2367,first,List of members of the United States House of Representatives who died in 1987,PERSON|PERSON Representative Date of death Representative,comparee,date of death,who,representative,date of death,sala burton,nan,who died first: sala burton or harold earthman ?
2368,#,List of members of the United States House of Representatives who died in 1987,Representative State District(s) Served Party Date of birth Date of death Age,comparee,#,what,#,#,#,least,what was the average age of the first three on the list ?
2369,oldest,List of members of the United States House of Representatives who died in 1987,Representative,comparee,#,which,representative,#,senator,most,which senator listed was the oldest when he died ?
2370,#,Señorita Panamá 1995,PERSON|PERSON Contestant Height Contestant,difference,height,what,contestant,height,reyna royo,nan,what is the height difference between contestant reyna royo and michelle krisko sugasti ?
2371,older,Señorita Panamá 1995,PERSON|PERSON Contestant Age Contestant,index,age,which,contestant,age,karol guevara,nan,"which contestant is older, karol guevara or patricia de leon ?"
2372,first,Señorita Panamá 1995,Contestant,comparee,person,who,contestant,person,#,least,who is the first person that is being represented ?
2373,larger,List of national parks of Finland,PERSON National park Land area (km²) National park,index,land area (km²),is,national park,land area (km²),koli,nan,is koli larger than lemmenjoki ?
2374,least,List of national parks of Finland,National park,comparee,land area,which,national park,land area,park,least,which park has the least land area ?
2375,least,List of national parks of Finland,National park,comparee,number of yearly visitors,which,national park,number of yearly visitors,finland's national parks,least,which of finland's national parks has the least number of yearly visitors ?
2376,least,List of national parks of Finland,National park,comparee,visitation,which,national park,visitation,national park,least,which national park has the least visitation ?
2377,last,List of national parks of Finland,National park,comparee,finnish national park,#,national park,finnish national park,#,most,last finnish national park to be established
2378,more,Koryak Okrug,DATE Deaths ,comparee,deaths,which,#,deaths,1998,more,"which year had more deaths, 1998 or 2006 ?"
2379,#,Koryak Okrug,Live births,difference,#,what,live births,#,live births,nan,what is the difference between live births and deaths in 1995 ?
2380,most,Koryak Okrug, Average population (x 1000) Live births Deaths Natural change Crude birth rate (per 1000) Crude death rate (per 1000) Natural change (per 1000),comparee,birth,what,#,birth,year,most,in what year were there the most births ?
2381,more,2006–07 New York Islanders season,LOCATION LOCATION LOCATION Nationality Nationality Nationality Nationality,index,players,are,nationality,players,sweden,more,are there more players from sweden or canada ?
2382,most,2006–07 New York Islanders season,Nationality,comparee,players,which,nationality,players,nationality,most,from which nationality did the islanders draft the most players ?
2383,top,2006–07 New York Islanders season,# Player,comparee,pick,who,player,pick,#,least,who was the top pick of the islanders' in the 2006 nhl entry draft ?
2384,same,2006–07 New York Islanders season,# Position,comparee,number of centers,what,position,number of centers,#,equal,there are the same number of centers as what other position on the team ?
2385,first,FIS Nordic World Ski Championships 2011 – Women's sprint,Athlete,comparee,place,who,athlete,place,#,least,who came in first place ?
2386,top,FIS Nordic World Ski Championships 2011 – Women's sprint,Athlete,comparee,finisher from poland,who,athlete,finisher from poland,#,least,who was the top finisher from poland ?
2387,first,FIS Nordic World Ski Championships 2011 – Women's sprint,Athlete,comparee,position,who,athlete,position,#,nan,who was first ?
2388,last,FIS Nordic World Ski Championships 2011 – Women's sprint,Athlete,comparee,position,who,athlete,position,#,nan,who was last ?
2389,last,FIS Nordic World Ski Championships 2011 – Women's sprint,Time,comparee,finisher from kazakhstan,what,time,finisher from kazakhstan,time,most,what is the time of the last finisher from kazakhstan ?
2390,top,List of airports in Queensland,Airport name,comparee,airport name,what,airport name,airport name,airport name,least,what is the airport name at the top of the list ?
2391,most,List of airports in Queensland,Community,comparee,airports,which,community,airports,community,most,which community has the most airports
2392,last,2011 World Touring Car Championship season,Race Race Name,comparee,race,what,race name,race,name,most,what was the name of the last race ?
2393,most,2011 World Touring Car Championship season,Winning team,comparee,number of times,who,winning team,number of times,winning team,most,who was the winning team the most number of times ?
2394,last,2011 World Touring Car Championship season,Race Name,comparee,race name,what,race name,race name,race name,nan,what race name comes in last ?
2395,first,Switzerland in the Eurovision Song Contest,Final Final Final,comparee,country,what,final,country,#,least,what is the first country listed on this chart ?
2396,most,Switzerland in the Eurovision Song Contest,Final Final Final,comparee,finals,which,final,finals,country,most,which country is listed for the most finals ?
2397,#,1961–62 Segunda División,Club Points,difference,points,what,club,points,the first,most,what are the point differences between the first and last team ?
2398,worst,1961–62 Segunda División,Club,comparee,goal,what,club,goal,team,nan,what team had the worst goal difference in the league ?
2399,#,1961–62 Segunda División,Club Points,difference,points,what,club,points,cordoba,nan,what is the difference between the points earned by cordoba and the points earned by cd villarrobledo ?
2400,first,1961–62 Segunda División,Club,comparee,place,which,club,place,team,least,which team took first place ?
2401,top,1961–62 Segunda División,Club Points,difference,points,how many,club,points,top team,least,how many points did the top team finish ahead of the bottom team ?
2402,most,1961–62 Segunda División,Club Points,comparee,points,which,club,points,club,most,which club scored the most points ?
2403,#,1961–62 Segunda División,Points,comparee,#,what,points,#,total number of points,least,what are the total number of points scored by the first place team ?
2404,top,Computer Applications (UIL),Class AAAA,comparee,winning school,who,class aaaa,winning school,#,least,who is the top (most wins overall) winning school in class aaaa ?
2405,largest,World Archery Championships,Mixed Team,comparee,amount of teams,who,mixed team,amount of teams,#,most,"who has the largest amount of teams, men's, women, or mixed ?"
2406,last,World Archery Championships,Women's Individual,comparee,american,who,women's individual,american,#,most,who was the last american to win men's individual ?
2407,last,World Archery Championships,Women's Team,comparee,competition,what,women's team,competition,women's team,most,what women's team won the last competition ?
2408,heavier,British Rail Class 08,TOPS design code Weight TOPS design code,index,weight,is,tops design code,weight,08-0av,nan,is 08-0av heavier than 08-0lx ?
2409,last,British Rail Class 08,TOPS design code,comparee,tops design code,what,tops design code,tops design code,#,most,what is the last tops design code on this chart ?
2410,#,British Rail Class 08,Max speed,comparee,top speed,what,max speed,top speed,#,least,what is the top speed of the class 08
2411,first,Vahid Shafiei,NUMBER # Score,comparee,score,what,score,score,#,least,what is the first score listed ?
2412,first,Vahid Shafiei,# Opponent,comparee,opponent,who,opponent,opponent,#,least,who is the first opponent listed on this chart ?
2413,last,Vahid Shafiei,# Date,comparee,date,what,date,date,#,most,what is the last date ?
2414,top,1997 Kentucky Derby,Finished Horse,comparee,finished,#,horse,finished,#,least,name a horse that did not place in the top ten of the 1997 kentucky derby
2415,last,1997 Kentucky Derby,Finished Horse,comparee,finished,#,horse,finished,#,most,name of horse that came in last in the 1997 kentucky derby
2416,top,1997 Kentucky Derby,Trainer,comparee,horse's trainer,what,trainer,horse's trainer,#,least,what is the name of the top horse's trainer ?
2417,first,1997 Kentucky Derby,Trainer,comparee,trainer,#,trainer,trainer,#,least,name of trainer of the horse that came in first in the 1997 kentucky derby
2418,first,1997 Kentucky Derby,Finished Horse,comparee,finished,#,horse,finished,#,least,name of horse that finished first in the 1997 kentucky derby
2419,first,1997 Kentucky Derby,Horse,comparee,horse,what,horse,horse,name,least,what is the name of the trainer of the first place horse ?
2420,more,Israeli Basketball League Cup,LOCATION|LOCATION|LOCATION Team Titles Team,difference,titles,how many,team,titles,maccabi tel aviv,more,how many more titles did team maccabi tel aviv win than every other team combined ?
2421,first,Israeli Basketball League Cup,Team,index,team,was,team,team,#,least,"who, of the years on this list, was the first team to win ?"
2422,last,Israeli Basketball League Cup,Team,comparee,team,what,team,team,#,most,what is the last team ?
2423,most,Israeli Basketball League Cup,Team Titles,comparee,titles,which,team,titles,team,most,which team has the most titles ?
2424,least,Israeli Basketball League Cup,Team,comparee,number of times,what,team,number of times,team,least,what team was the runner run the least number of times ?
2425,first,Israeli Basketball League Cup,Place Team,comparee,place,who,team,place,#,least,who is in first place ?
2426,more,Fables of the Reconstruction,Format Format Format Format Format Format Format Format,difference,releases,how many,format,releases,compact disc,more,how many more releases were in compact disc format than cassette tape ?
2427,most,Fables of the Reconstruction,Region Date Label Format Catalog,comparee,releases,which,year,releases,year,most,which year had the most releases ?
2428,most,Fables of the Reconstruction,Region,comparee,releases,which,region,releases,country or region,most,which country or region had the most releases ?
2429,first,Fables of the Reconstruction,Date Format,comparee,vinyl lp,what,date,vinyl lp,date,least,what was the date of the first vinyl lp release ?
2430,last,Fables of the Reconstruction,Region,comparee,region,which,region,region,region,most,which region was the last to release ?
2431,more,Andrea Koch Benvenuto,Tournament,index,tournament,which,year,tournament,2006,more,in which year did andrea koch benvenuto win more tournaments: 2006 or 2009 ?
2432,least,Andrea Koch Benvenuto,Surface,comparee,surface,which,surface,surface,surface,nan,which surface was played on the least ?
2433,most,Andrea Koch Benvenuto,Tournament,comparee,consecutive tournaments,what,tournament,consecutive tournaments,#,most,what is the most consecutive tournaments won by andrea koch benvenuto ?
2434,last,Andrea Koch Benvenuto,Tournament,comparee,tournament,what,tournament,tournament,#,most,what was the last tournament she won ?
2435,better,1987 PGA Championship,NUMBER Player Score,comparee,score,who,player,score,strange,nan,"who scored better, strange or frost ?"
2436,first,1987 PGA Championship,Player,comparee,player,what,player,player,name,least,what is the name of the first player on this chart ?
2437,#,1987 PGA Championship,Player,comparee,#,#,player,#,#,least,name each of the first place players
2438,most,1987 PGA Championship,Country,comparee,leaders,which,country,leaders,country,most,which country had the most leaders ?
2439,longer,List of state leaders in 300 BC,PERSON PERSON Name Name State,comparee,#,who,name,#,zhao,nan,"who ruled longer, zhao or zhaoxiang ?"
2440,first,List of state leaders in 300 BC,Name From Name,comparee,from,which,name,from,si jun,nan,"which ruler came first, si jun or min ?"
2441,longest,List of state leaders in 300 BC,Name Title Title Title Title Title Title Title,comparee,#,which,name,#,king,nan,which king ruled the longest ?
